guid,article_char_len,summary_engine,format,status,error,rouge1_f,rouge2_f,rougeL_f,rougeL_delta_vs_baseline,compression_ratio,repetition_rate,cleaned_char_len,sentence_count,ingest_latency_sec,summarize_latency_sec,predicted_summary,ingest_exact_match,ingest_char_len_ratio,ingest_sentence_count_delta,ingest_rougeL_f,ingest_replacement_char_count
494,1598,textrank,text_baseline,ok,,0.4457831325301204,0.14634146341463417,0.27710843373493976,0.0,0.2309136420525657,0.03076923076923077,1598,15,0.00012460000289138407,0.0019958000048063695,"Tối 13/5 , thông_tin từ phòng Cảnh_sát hình_sự , Công_an tỉnh Đắk_Lắk cho biết , chiều cùng ngày đơn_vị đã đưa đối_tượng Nguyễn Hoàng Quân_Nhi , 23 tuổi , nhân_viên công_ty đòi nợ thuê ở TP. Sau khi tiếp_nhận trình_báo , bằng các biện_pháp nghiệp lực_lượng Công_an tỉnh Đắk_Lắk xác_định được đối tượng đe_doạ anh Đức là Nguyễn_Hoàng_Quân_Nhi , hiện đang ở quận 11 , TP.",True,1.0,0,1.0,0
494,1598,textrank,file_txt,ok,,0.4457831325301204,0.14634146341463417,0.27710843373493976,0.0,0.2309136420525657,0.03076923076923077,1598,15,0.0024698999914107844,0.0018751999887172133,"Tối 13/5 , thông_tin từ phòng Cảnh_sát hình_sự , Công_an tỉnh Đắk_Lắk cho biết , chiều cùng ngày đơn_vị đã đưa đối_tượng Nguyễn Hoàng Quân_Nhi , 23 tuổi , nhân_viên công_ty đòi nợ thuê ở TP. Sau khi tiếp_nhận trình_báo , bằng các biện_pháp nghiệp lực_lượng Công_an tỉnh Đắk_Lắk xác_định được đối tượng đe_doạ anh Đức là Nguyễn_Hoàng_Quân_Nhi , hiện đang ở quận 11 , TP.",True,1.0,0,1.0,0
494,1598,textrank,file_docx,ok,,0.4457831325301204,0.14634146341463417,0.27710843373493976,0.0,0.2309136420525657,0.03076923076923077,1598,15,0.021420500008389354,0.0018106000061379746,"Tối 13/5 , thông_tin từ phòng Cảnh_sát hình_sự , Công_an tỉnh Đắk_Lắk cho biết , chiều cùng ngày đơn_vị đã đưa đối_tượng Nguyễn Hoàng Quân_Nhi , 23 tuổi , nhân_viên công_ty đòi nợ thuê ở TP. Sau khi tiếp_nhận trình_báo , bằng các biện_pháp nghiệp lực_lượng Công_an tỉnh Đắk_Lắk xác_định được đối tượng đe_doạ anh Đức là Nguyễn_Hoàng_Quân_Nhi , hiện đang ở quận 11 , TP.",True,1.0,0,1.0,0
494,1598,textrank,file_pdf,ok,,0.4222222222222222,0.0909090909090909,0.26666666666666666,-0.0104417670682731,0.0769712140175219,0.0,1598,53,0.01473979999718722,0.01664090000849683,"Tr??c ?ó , chi?u 4/5 anh ??c liên t?c nh?n ???c ?i?n
tho?i t? vi?c ph?c t?p , tiêu_c?c , ?nh h??ng ??n quy?n l?i c?a m?t s?",False,1.0,38,1.0,0
8563,2618,textrank,text_baseline,ok,,0.39622641509433965,0.17307692307692307,0.3018867924528302,0.0,0.07410236822001529,0.46875,2618,17,0.00016340000729542226,0.002189400009228848,Việt_Nam và Lào sẽ bàn các biện_pháp thúc_đẩy hợp_tác song_phương và cả các vấn_đề khu_vực . Việt_Anh Việt_Nam và Lào sẽ bàn các biện_pháp thúc_đẩy hợp_tác song_phương và cả các vấn_đề khu_vực .,True,1.0,0,1.0,0
8563,2618,textrank,file_txt,ok,,0.39622641509433965,0.17307692307692307,0.3018867924528302,0.0,0.07410236822001529,0.46875,2618,17,0.0038524000119650736,0.0023951999901328236,Việt_Nam và Lào sẽ bàn các biện_pháp thúc_đẩy hợp_tác song_phương và cả các vấn_đề khu_vực . Việt_Anh Việt_Nam và Lào sẽ bàn các biện_pháp thúc_đẩy hợp_tác song_phương và cả các vấn_đề khu_vực .,True,1.0,0,1.0,0
8563,2618,textrank,file_docx,ok,,0.39622641509433965,0.17307692307692307,0.3018867924528302,0.0,0.07410236822001529,0.46875,2618,17,0.0209476000018185,0.002044999986537732,Việt_Nam và Lào sẽ bàn các biện_pháp thúc_đẩy hợp_tác song_phương và cả các vấn_đề khu_vực . Việt_Anh Việt_Nam và Lào sẽ bàn các biện_pháp thúc_đẩy hợp_tác song_phương và cả các vấn_đề khu_vực .,True,1.0,0,1.0,0
8563,2618,textrank,file_pdf,ok,,0.4201680672268908,0.08547008547008546,0.21848739495798322,-0.08339939749484696,0.10114503816793893,0.0,2620,65,0.01724080000713002,0.0167508999875281,"Nikkei c?a
Nh?t_B?n hôm 28/5 cho_bi?t Th?_t??ng Lào_Thongloun_Sisoulith , trong cu?c ph?ng_v?n v?i báo này , ""
kêu_g?i nh?ng n??c có liên_quan ti?n_hành ??i_tho?i ?? liên_quan ??n
hai n??c , Vi?t_Nam theo_?u?i bi?n_pháp gi?i_quy?t song_ph??ng , ??i_v?i nh?ng v?n_??",False,1.0007639419404126,48,1.0,0
55,1977,textrank,text_baseline,ok,,0.4888888888888889,0.348314606741573,0.35555555555555557,0.0,0.2013151239251391,0.0,1977,19,0.00015100000018719584,0.0025101000064751133,"Cà_Mau , Cà_Mau ) , Phó tổng_giám_đốc Công_ty TNHH Xây_dựng - Thương_mại - Du_lịch Công_Lý ( gọi tắt là Công_ty Công_Lý ) để điều_tra về hành_vi lừa_đảo chiếm_đoạt tài_sản theo Điều 179 Bộ Luật_hình_sự . Thông_tin trên báo Người Lao_Động , gần đây , công_ty Công_Lý đề_xuất UBND tỉnh Cà_Mau cấp kinh_phí và đất để chôn xác thai_nhi do nhà_máy rác của công_ty này phát_hiện từ khi đi vào hoạt_động .",True,1.0,0,1.0,0
55,1977,textrank,file_txt,ok,,0.4888888888888889,0.348314606741573,0.35555555555555557,0.0,0.2013151239251391,0.0,1977,19,0.0030085999896982685,0.002470600011292845,"Cà_Mau , Cà_Mau ) , Phó tổng_giám_đốc Công_ty TNHH Xây_dựng - Thương_mại - Du_lịch Công_Lý ( gọi tắt là Công_ty Công_Lý ) để điều_tra về hành_vi lừa_đảo chiếm_đoạt tài_sản theo Điều 179 Bộ Luật_hình_sự . Thông_tin trên báo Người Lao_Động , gần đây , công_ty Công_Lý đề_xuất UBND tỉnh Cà_Mau cấp kinh_phí và đất để chôn xác thai_nhi do nhà_máy rác của công_ty này phát_hiện từ khi đi vào hoạt_động .",True,1.0,0,1.0,0
