doc_id,title,article_chars,sentence_count,top_k,summary_chars,selected_indices,summary_text,has_reference,source,rouge1_f,rouge2_f,rougeL_f
0,Khởi_tố kẻ_trộm hơn 1 tạ thóc và hơn 8 triệu đồng của chú ruột để lấy tiền mua ma_tuý,1576,16,2,9,"[4, 6]",500. 080.,True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.0,0.0,0.0
0,Khởi_tố kẻ_trộm hơn 1 tạ thóc và hơn 8 triệu đồng của chú ruột để lấy tiền mua ma_tuý,1576,16,3,14,"[4, 6, 9]",500. 080. 120.,True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.0,0.0,0.0
0,Khởi_tố kẻ_trộm hơn 1 tạ thóc và hơn 8 triệu đồng của chú ruột để lấy tiền mua ma_tuý,1576,16,4,129,"[4, 5, 6, 9]","500. 000 đ tiền_mặt ( ông Thịnh để dưới đáy tủ ) , rồi dùng số tiền trên để đi mua ma_tuý về sử_dụng và tiêu_xài hết 6. 080. 120.",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.54,0.12244897959183673,0.34
0,Khởi_tố kẻ_trộm hơn 1 tạ thóc và hơn 8 triệu đồng của chú ruột để lấy tiền mua ma_tuý,1576,16,5,219,"[3, 4, 5, 6, 9]","Không dừng lại , sau đó đối_tượng tiếp_tục quay lại lục_soát tủ nhà ông Thịnh trộm_cắp 8. 500. 000 đ tiền_mặt ( ông Thịnh để dưới đáy tủ ) , rồi dùng số tiền trên để đi mua ma_tuý về sử_dụng và tiêu_xài hết 6. 080. 120.",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.6259541984732825,0.186046511627907,0.3053435114503817
1,"Tạm giữ hai đối_tượng tháo ốc , sắt trên đường_ray để có tiền "" phê "" ma_tuý",1224,9,2,99,"[6, 8]","Hiện , vụ_việc đang được cơ_quan_chức_năng tiếp_tục xác_minh , điều_tra làm rõ . ( Ảnh minh_hoạ ) .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.4838709677419355,0.06666666666666667,0.1935483870967742
1,"Tạm giữ hai đối_tượng tháo ốc , sắt trên đường_ray để có tiền "" phê "" ma_tuý",1224,9,3,148,"[1, 6, 8]","Các đối_tượng này là những người nghiện ma_tuý . Hiện , vụ_việc đang được cơ_quan_chức_năng tiếp_tục xác_minh , điều_tra làm rõ . ( Ảnh minh_hoạ ) .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.5384615384615385,0.07894736842105263,0.2564102564102564
1,"Tạm giữ hai đối_tượng tháo ốc , sắt trên đường_ray để có tiền "" phê "" ma_tuý",1224,9,4,423,"[0, 1, 6, 8]","Ngày 25/7 , đại_diện Công_an TP. Biên_Hoà ( tỉnh Đồng_Nai ) vẫn đang tạm giữ 2 đối_tượng Trần_Phước_Nhật ( 37 tuổi , ngụ phường Quyết_Thắng , TP. Biên_Hoà ) và Phạm_Xuân_Lê_Đơ ( 38 tuổi , ngụ phường Tân_Vạn , TP. Biên_Hoà ) để xác_minh điều làm rõ hành_vi trộm_cắp tài_sản . Các đối_tượng này là những người nghiện ma_tuý . Hiện , vụ_việc đang được cơ_quan_chức_năng tiếp_tục xác_minh , điều_tra làm rõ . ( Ảnh minh_hoạ ) .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.2787878787878788,0.0736196319018405,0.18181818181818182
1,"Tạm giữ hai đối_tượng tháo ốc , sắt trên đường_ray để có tiền "" phê "" ma_tuý",1224,9,5,781,"[0, 1, 5, 6, 8]","Ngày 25/7 , đại_diện Công_an TP. Biên_Hoà ( tỉnh Đồng_Nai ) vẫn đang tạm giữ 2 đối_tượng Trần_Phước_Nhật ( 37 tuổi , ngụ phường Quyết_Thắng , TP. Biên_Hoà ) và Phạm_Xuân_Lê_Đơ ( 38 tuổi , ngụ phường Tân_Vạn , TP. Biên_Hoà ) để xác_minh điều làm rõ hành_vi trộm_cắp tài_sản . Các đối_tượng này là những người nghiện ma_tuý . Nhận tin báo , lực_lượng chức_năng nhanh_chóng có_mặt tại hiện_trường bắt quả_tang hai đối_tượng này và thu_giữ một kìm cắt sắt , số_lượng lớn bulong , đầu tán , căn sắt , vòng_đệm , … Tại cơ_quan công_an , hai đối_tượng khai nhận , do thiếu tiền mua ma_tuý nên rủ nhau tháo trộm đường_ray đem sắt đi bán để lấy tiền mua "" hàng trắng "" và tiêu_xài cá_nhân . Hiện , vụ_việc đang được cơ_quan_chức_năng tiếp_tục xác_minh , điều_tra làm rõ . ( Ảnh minh_hoạ ) .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.20567375886524822,0.1285714285714286,0.13475177304964542
2,Tạm giam 4 tháng nữ đồng_nghiệp đâm chết nam thanh_niên,1692,17,2,156,"[2, 10]","Sau đó , nhóm này tiếp_tục tới quán karaoke B.M . Tức_giận , Hậu lấy con dao nhọn để trên bàn đâm một nhát vào bụng nam thanh_niên khiến nạn_nhân ngục ngã .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.7551020408163266,0.5625,0.6326530612244898
2,Tạm giam 4 tháng nữ đồng_nghiệp đâm chết nam thanh_niên,1692,17,3,237,"[2, 10, 13]","Sau đó , nhóm này tiếp_tục tới quán karaoke B.M . Tức_giận , Hậu lấy con dao nhọn để trên bàn đâm một nhát vào bụng nam thanh_niên khiến nạn_nhân ngục ngã . Tại cơ_quan công_an , đối_tượng đã khai nhận toàn_bộ hành_vi phạm_tội của mình .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.624,0.43902439024390244,0.5279999999999999
2,Tạm giam 4 tháng nữ đồng_nghiệp đâm chết nam thanh_niên,1692,17,4,578,"[0, 2, 10, 13]","Sáng 21/2 , thông_tin từ cơ_quan CSĐT Công_an tỉnh Đắk_Lắk cho biết , đơn_vị này đã ra quyết_định khởi_tố vụ án , khởi_tố bị_can và lệnh bắt tạm giam 4 tháng đối_với Trịnh_Thị_Thi_Hậu ( SN 1975 , ngụ căn_hộ số 1 , tầng 13 , Blok_C , khu chung_cư Hoàng_Anh_Gia_Lai – TP. Buôn_Ma_Thuột , tỉnh Đắk_Lắk ) để điều_tra làm rõ hành_vi giết người . Sau đó , nhóm này tiếp_tục tới quán karaoke B.M . Tức_giận , Hậu lấy con dao nhọn để trên bàn đâm một nhát vào bụng nam thanh_niên khiến nạn_nhân ngục ngã . Tại cơ_quan công_an , đối_tượng đã khai nhận toàn_bộ hành_vi phạm_tội của mình .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.3463203463203463,0.24454148471615722,0.32900432900432897
2,Tạm giam 4 tháng nữ đồng_nghiệp đâm chết nam thanh_niên,1692,17,5,661,"[0, 2, 10, 13, 14]","Sáng 21/2 , thông_tin từ cơ_quan CSĐT Công_an tỉnh Đắk_Lắk cho biết , đơn_vị này đã ra quyết_định khởi_tố vụ án , khởi_tố bị_can và lệnh bắt tạm giam 4 tháng đối_với Trịnh_Thị_Thi_Hậu ( SN 1975 , ngụ căn_hộ số 1 , tầng 13 , Blok_C , khu chung_cư Hoàng_Anh_Gia_Lai – TP. Buôn_Ma_Thuột , tỉnh Đắk_Lắk ) để điều_tra làm rõ hành_vi giết người . Sau đó , nhóm này tiếp_tục tới quán karaoke B.M . Tức_giận , Hậu lấy con dao nhọn để trên bàn đâm một nhát vào bụng nam thanh_niên khiến nạn_nhân ngục ngã . Tại cơ_quan công_an , đối_tượng đã khai nhận toàn_bộ hành_vi phạm_tội của mình . Được biết , nạn_nhân và nghi_phạm là đồng_nghiệp cùng làm chung tại một hãng bia .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.310077519379845,0.21875000000000003,0.2945736434108527
3,"Xế hộp tiền tỷ bỗng_dưng "" bốc_hơi "" tại chung_cư Hà_Đô",1416,12,2,105,"[2, 7]",xx bị mất . Hình_ảnh ghi lại đối_tượng thực_hiện vụ trộm_cắp khá mờ nên việc điều_tra truy_xét khó_khăn .,True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.5542168674698795,0.07407407407407407,0.2891566265060241
3,"Xế hộp tiền tỷ bỗng_dưng "" bốc_hơi "" tại chung_cư Hà_Đô",1416,12,3,165,"[2, 3, 7]",xx bị mất . Vụ_việc nhanh_chóng được trình_báo đến Công_an địa_phương . Hình_ảnh ghi lại đối_tượng thực_hiện vụ trộm_cắp khá mờ nên việc điều_tra truy_xét khó_khăn .,True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.594059405940594,0.0808080808080808,0.297029702970297
3,"Xế hộp tiền tỷ bỗng_dưng "" bốc_hơi "" tại chung_cư Hà_Đô",1416,12,4,319,"[2, 3, 7, 8]","xx bị mất . Vụ_việc nhanh_chóng được trình_báo đến Công_an địa_phương . Hình_ảnh ghi lại đối_tượng thực_hiện vụ trộm_cắp khá mờ nên việc điều_tra truy_xét khó_khăn . Báo Tri_Thức_Trẻ thông_tin thêm , anh N. cho biết , chiếc ô_tô bị mất anh mua cách đây khoảng một năm , trị_giá gần 1 tỷ đồng , xe sắp hết hạn bảo_hiểm .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.5,0.09333333333333334,0.2763157894736842
3,"Xế hộp tiền tỷ bỗng_dưng "" bốc_hơi "" tại chung_cư Hà_Đô",1416,12,5,398,"[2, 3, 7, 8, 11]","xx bị mất . Vụ_việc nhanh_chóng được trình_báo đến Công_an địa_phương . Hình_ảnh ghi lại đối_tượng thực_hiện vụ trộm_cắp khá mờ nên việc điều_tra truy_xét khó_khăn . Báo Tri_Thức_Trẻ thông_tin thêm , anh N. cho biết , chiếc ô_tô bị mất anh mua cách đây khoảng một năm , trị_giá gần 1 tỷ đồng , xe sắp hết hạn bảo_hiểm . H.Y ( tổng_hợp ) Chung_cư Hà_Đô , nơi xảy ra vụ_việc mất_trộm xe Ford_Ranger .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.4545454545454545,0.11494252873563217,0.26136363636363635
4,"Hải_Phòng : Bắt 2 đối_tượng dùng chiêu "" ve_sầu thoát xác "" trốn truy_nã dưới vỏ bọc công_nhân",2303,14,2,289,"[7, 8]","Để che_giấu thân_phận , 2 tên đã dùng "" chiêu "" thay tên đổi họ và khai_báo quê_quán ở các địa_phương khác . Hàng ngày , dưới "" vỏ bọc "" là những công_nhân , Mái cùng Quân sáng đi làm , tối về nhà_trọ đồng_thời luôn tỏ ra cần_cù , chịu_khó và hạn_chế giao_tiếp với những người xung_quanh .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.5179856115107914,0.23357664233576644,0.33093525179856115
4,"Hải_Phòng : Bắt 2 đối_tượng dùng chiêu "" ve_sầu thoát xác "" trốn truy_nã dưới vỏ bọc công_nhân",2303,14,3,451,"[5, 7, 8]","Để truy bắt thành_công các đối_tượng trốn nã , tổ công_tác đội 3 PC01 và đồn Công_an KCN Vsip đã phối_hợp chặt_chẽ , triển_khai đồng_bộ các biện_pháp nghiệp_vụ . Để che_giấu thân_phận , 2 tên đã dùng "" chiêu "" thay tên đổi họ và khai_báo quê_quán ở các địa_phương khác . Hàng ngày , dưới "" vỏ bọc "" là những công_nhân , Mái cùng Quân sáng đi làm , tối về nhà_trọ đồng_thời luôn tỏ ra cần_cù , chịu_khó và hạn_chế giao_tiếp với những người xung_quanh .",True,local:C:\Users\OS\OneDrive\Desktop\Text_Summarization\data\raw\vietnews\train.jsonl,0.39999999999999997,0.18085106382978722,0.2842105263157895
